Название,Описание,Оценка
Cowboy Bebop,2071 год человечество колонизировать весь солнечный система основать колония венера юпитер десятилетие тот назад техногенный катастрофа быть уничтожить луна последствие оказаться катастрофический непрерывный метеоритный дождь сделать жизнь поверхность земля невозможный первый неделя катастрофа погибнуть миллиард человек больший часть выжить перебраться колония другой планета время весь солнечный система разрастись набрать сила преступный синдикат борьба который правительство возродить древний практика охота голова отныне охотник голова разъезжать весь солнечный система поиск цель спайк шпигель джет блэк охотник воля судьба они оказаться космический корабль bebop путешествовать вместе они подбирать фэй валентайна очаровательный картёжница невероятно огромный долг радикал эдвард компьютерный гений генетически модифицированный собака эйн борт bebop судьба сводить четыре человек один собака начинаться они совместный приключение,8.77
Cowboy Bebop: Tengoku no Tobira,действие фильм происходить 2071 год несколько день хэллоуин столица марс быть выпустить смертельный вирус правительство обещать триста миллион вулонг ₩ тот кто найти человек стоящий это великий награда история экипаж космический корабль бибоп спайк шпигель фэй валентайна джет блэк эдвард вонг хау пепел тивруска эйн надеяться поймать преступник получить награда сумма немаленький только награда жаждать получить многие другой винсент воладзя ответственный инцидент марс гораздо большой загадка казаться первый взгляд сам создатель вирус высылать он поимка электра овить агент который тот должный позаботиться человек мочь пролить свет инцидент поймать человек прошлое будущее судьба марс теперь зависеть экипаж бибоп,8.39
Trigun,trigun известный свой жанр космический вестерн сериал повествовать парень имя вэш ураган он похождение два девушка страховой агентство бернарделли сотрудница агентство всюду следовать вэш пытаться свести минимум тот разрушение который неизбежно появляться приход вэш быть дело охотник голова жаждать получить награда 000 000 000 шестьдесят миллиард двойной доллар который назначить голова вэш тот единолично уничтожить город июль сам вэш мочь вспомнить это инцидент случиться они амнезия протяжение весь путешествие вэш пытаться спасти свой жизнь смертоносный метод время время он составлять компания священник николас дэ вульфвуд который вэш являться превосходный стрелок загадочный прошлое,8.23
Witch Hunter Robin,человек это мир уже давно позабыть существование ведьма маг средневековье они вовсе истребить они сей пора жить мы изменение общественный жизнь последний десятилетие активность ведьма колдун становиться более заметный издревле охотник ведьма объединяться кооперироваться друг друг конец конец создать организация stn единственный цель который являться истребление ведьма наш день stn только поддерживаться церковь иметь связь практически весь крупный организация силовой структура государство мир место преступление где есть подозрение причастность ведьма немедленно вызываться оперативник stn японский отделение stn где недавно погибнуть один оперативник главное отделение организация посылать пятнадцатилетний робин сэн отличие прочий филиал stn япония ведьма уничтожать они захватывать живой увозить лаборатория где пытаться понять они природа источник они способность крайний мера таков официальный версия центральный отделение выглядеть подозрительно задача робин становиться выяснить сам дело происходить япония,7.27
Bouken Ou Beet,начаться мрачный время наступить тёмный эра человек страдать гнёт дьявол вандеть способный управлять монстр охотник вандело группа человек который уничтожать этот бес они наиболее известный команда зенон она считаться сам сильный континент один мальчик битый мечтать присоединиться этот могучий отряд результат ошибка битый команда зенон быть поверженный дьявол белтоз умирающий охотник запечатать свой жизненный сила собственный оружие называть сайга передать свой орудие бит они скончаться много год пройти тот пора уже молодой охотник вандело битый пускаться опасный захватывать приключение выполнить обещание данный зенон стать закончить тёмный эра,6.97
Eyeshield 21,сэн кобаякава детство быть слабак никто мочь дать сдача это начальный школа он приходиться несладко он быть предмет вечный насмешка издевательство единственный он быть способный убегать убегать он получаться очень хорошо это искусство сэн быть равный окончить средний школа сэн переводиться частный школа где учиться он подруга детство маморить анэзак перевод он слишком помогать новый школа ситуация издевательство быстро становиться ещё плохой старый феноменальный талант парень бегать быстро замечать гроза местный школа йоич хирум желать упустить такой возможность сила заставлять сэн вступить школьный клуб американский футбол,7.95
Hachimitsu to Clover,ют такэмото такуметь маям синоб морита три студент который вместе проживать жилой комплекс учиться один колледж искусство токио они привычный жизнь меняться они знакомиться хагуметь ханамото родственница сюдзь ханамото профессор искусство она приехать жить сюдзь учиться тот художественный колледж где учиться такэмото маям морита ют синоб быстро влюбляться хага первый стараться скрыть свой чувство остаться хага друг второй выражать свой любовь подчас пугать девушка они компания общаться аюй ямада мастер керамика известный прозвище железный леди который очень быстро находить общий язык хага аюй подрабатывать семейный магазинчик сакэ аюй пользоваться популярность парень она влюбить такуметь разделять чувство девушка считать её весь друг сам такуметь влюбить женщина который много год старший он рик харад вдова друг профессор ханамото работать архитектурный студия который рик основать вместе муж история показывать жизнь герой они любовный треугольник неразделённый любовь окончание колледж поиск работа познавание сам себя,8.05
Hungry Heart: Wild Striker,весь свой жизнь кёсукэ кано жить тень старший брат сэйсукэ успешный профессиональный футболист устать постоянный сравнение который всегда заканчиваться он польза кёсукэ бросать футбол внезапно менеджер футбольный клуб старший школа просить он войти состав команда кано младший решать присоединиться неожиданно находить общий язык два другой игрок новичок сакать родриго сам дело уж странно трое мечтать один тот стать профи мир футбол,7.58
Initial D Fourth Stage,такуметь фудживар вместе брат кэйскэ рёскэ такахаша основать project d команда гонщик нацелить максимально раскрыть свой потенциал довести совершенство свой умение сделать они родный префектура помощь интернет project d бросать вызов другой команда гонщик результат выкладывать общий доступ процедурный вопрос заведовать рёскэ битва спуск брать себя такуметь тогда кэйскэ предпочитать вызывать тот кто специализироваться езда подъём прочий они противник можно увидеть такой команда ssr todo juku,8.15
Monster,действие происходить германия дюссельдорф неизвестный проникать дом семья либерт убивать родитель простреливать они сын голова трогать он сестра который забывать шок тот город работать гениальный японский нейрохирург кэндзый тэмма суметь спасти жизнь мальчик много год раненый человек привозить госпиталь спасти он жизнь кэндзый узнавать тот причастный продолжаться германия серийный убийство вскоре кэндзый оказываться замешать это дело он глаз тот самый спасти ребёнок вырасти теперь юноша хладнокровно убивать спасти человек кэндзый предстоять очистить свой имя узнать спасти они много год назад ребёнок переосмыслить сам ценность жизнь который он спасать работать хирург,8.77
Naruto,мой путь ниндзя день рождение наруто узумаки деревня название коноха напасть легендарный демон девятихвостый лис четвёртый хокагэ цена свой жизнь спасти деревня запечатать демон новорождённый наруто неосознанно обрекать он жизнь ненависть односельчанин недостаток талант многий область ниндзюца неусидчивость задиристость наруто есть мечта стать хокагэ сильный ниндзя деревня желать признание который получать он упорно работать тренироваться вместе свой напарник саскэ учиха сакура харуно свой наставник какаш хатакэ он он напарник прийтись пройти многое путь свой заветный мечта сражение любовь дружба предательство жажда сила,7.92
One Piece,легендарный гол далее роджер быть пиратский король он быть единственный пират проплыть гранд лайна начало конец захват роджер год тот назад всемирный правительство привести изменение весь мир последний слово пират казнь открыть расположение великий сокровище мир пис тот кто добыть он стать новый король пират событие положить начало великий эра пират монка далее луффи летний парень бросать вызов гранд лайна он собирать команда отправляться поиск сокровище мечтать захватывать приключение иметь свой причина стать пират следовать стопа свой герой детство король пират луффи он команда путешествовать линия великий море навстречу безумный приключение сильный враг тот добыть великое сокровище мир пис,8.56
Tennis no Ouji-sama,юный дарование мир теннис рёма этидзэн выигрывать четыре подряд теннисный турнир сша возвращаться япония поступить академия сэйсюн гакуэн знаменитый свой теннисный клуб клуб академия царить жёсткий порядок право играть школьный команда сэйгак определяться результат внутренний турнир допускаться старшеклассник рёма первый день учёба обыграть несколько сильный игрок команда помеха он быстро становиться полноправный член сэйгак потеснить оттуда менее удачливый игрок команда скоро важный событие районный теннисный турнир где быть играть сильный школа округ первый шаг путь сэйгак заветный мечта школа участие победа национальный теннисный турнир япония сам рёма цель прозаичный он сей пора раз обыграть свой отец бывший профессиональный игрок теннис,7.9
School Rumble,тэмма цукамото обычный девочка учиться год старший школа она безнадёжно влюбить свой одноклассник одзь карасума который можно счесть немного странный тэмма это явно замечать тот застенчивость несмелость она никак получаться он свой чувство тут ещё известие тот карасума предстоять перевестись другой школа год другой одноклассник девушка имя кэндзь харим прославиться хулиган испытывать схожий чувство сам тэмма вопрос драка он гроза школа дело любовь скромный неуверенный себя мальчишка мешать он они отчаянный попытка обратить себя внимание возлюбить образовать школьный переполох невероятно смешной романтический комедия,7.93
Sunabouzu,отдалить будущее япония превратить бесплодный край великий пустыня канто разбросать небольшой поселение человек день день труд выживать окружение раскалить песок путешествовать дальний расстояние специальный снаряжение невозможно… этот условие зарабатывать себя жизнь невысокий человек прозвище сунабоз наёмник охотник голова демон пустынь он казаться невозможно победить мужчина он иметь некоторый слабость противоположить полу…,7.42
Texhnolyze,люкс подземный город который быть построить один эксперимент человек жить поверхность забыть немой житель люкс оказаться отчаянный положение город установиться хрупкий равновесие сила взять верх группировка быть изобрести технология технолайза который помогать управлять город теперь некоторый человек люкс обладать технолизировать конечность похожий протез действие сериал разворачиваться итисэ уличный боец один потомок первый сослать земля человек стать технолайза спасение город он разрушение,7.76
Trinity Blood,действие происходить далёкий будущее третий мировой война назвать впоследствии армагеддон армагеддон война вампир человечество утихнуть продолжаться сей пора тот защитить человек вампир ватикан вынудить полагаться союзник оказаться они один сторона баррикада главный герой священник имя авель найтроуд путешествовать страна качество представитель ватикан время он являться агент особый подразделение создать кардинал катерина сфорца скорый встреча авель молодой девушка имя эстера предопределить исход борьба вампир человеческий раса,7.32
Yakitate!! Japan,yakitate яп 焼きたて якитатэ означать свежеиспечённый слово japan русый япония содержать pan яп パン пан японски хлеб рассуждать кадзум решить сотворить яппан уникальный японский хлеб способный состязаться хороший сорт хлеб весь мир кадзум начать бредить хлеб шесть год он сестра кричать они семья обязать иногда есть хлеб завтрак они отец мысль такой допускать он есть завтрак натто мисо суп рис кадзум соглашаться говорить хлеб он совсем нравиться тот пора пока сестра вытащить он дом отвести хлебный магазин показать весь прелесть свежеиспечённый буханка результат это стать только кадзум поменять свой мнение владелец лавка увидеть юноша обладать волшебный солнечный рука теплота который делать они особенно подходящий хлебопечение год владелец закрывать магазин отправляться токио реализовать свой мечта сотворение яппан кадзум одержимый мечта изготовление хлеб сразу окончание школа возраст шестнадцать год отправляться токио попытать счастие выторговать себя рабочий местечко сам передовой хлебный магазин япония pantasia,7.95
Neon Genesis Evangelion,2015 год земля вновь нападать ангел чужеродный боевой машина отличаться громадный размер сокрушительный сила единственный надежда спасение человечество являться евангелиона сокращённо ева человекоподобный боевой машина разработать nerv специальный отдел организация объединить нация ева состояние выдержать нападение ангел есть один особенность пилотировать робот мочь ограниченный число человек только горстка подросток родить четырнадцать год назад девять месяц первый появление ангел мочь управлять ева один они синдзь икарий отец который являться руководитель nerv втянутый водоворот битва событие который он понимать синдзь вынудить проникнуть глубина собственный внутренний мир найти сила храбрость только сражение выживание иначе он рисковать потерять,8.32
Neon Genesis Evangelion: Death & Rebirth,компиляция серия одноимённый сериал небольшой добавление новый сцена начало век официальный версия антарктида падать метеорит приводить растопление лёд затопление весь прибрежный территория мир время погружаться хаос потом начинать понемногу восстанавливаться событие быть назвать второй удар школьник икарий синдзь вызывать себя отец являться глава могущественный организация nerv давление отец обстоятельство икарий начинать пилотировать самый удивительный разрушительный оружие человек боевой робот евангелиона токио где находиться штаб квартира nerv нападать странный существо прозвать ангел течение время икарий начинать узнавать весь правда второй удар nerv ангел он разум начинать медленно погружаться пучина отчаяние,7.45
Neon Genesis Evangelion: The End of Evangelion,альтернативный окончание оригинальный сериал nerv подвергаться нападение seele рей становиться единый лилит вместе копьё лонгиния комплементировать ева синдзь должный быть решать прекратить человечество свой существование он должный принять решение сейчас он хотеть остаться живой погибнуть он решение повлиять человечество,8.52
Kenpuu Denki Berserk,отважный молодой воин гатс испытывать судьба качество наёмник передовой роковой встреча сводить гатс харизматичный беспощадный юноша имя гриффита возглавлять непобедимый отряд известный банда ястреб гриффита владеть грозный сила несравнимый движимый стремление статус ястреб проявлять невиданный доселе доблесть военный дело выдержка дело политический армия мидланда содрогнуться страх гриффита гатс вступить путь который они суждено поставить мир колено,8.49
Koukaku Kidoutai,2029 год граница реальный мир практически размываться развитие интернет кибернетика это человек становиться уязвимый хакерский атака разыскивать хакер известный кукловод начинать использовать этот уязвимость политический цель девятый отдел группа кибернитически усовершенствовать полицейский поручить найти остановить кукловод мера расследование начинать возникать сомнение являться верный делать человек делать кукловод особенно это мир где различие человек машина практически стереться,8.29
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,незадолго реставрация мэйдзь сэйдзюро хико отшельник мастер клинок встречать бандит вырезать караван работорговец надежда спасти кто хико убивать бандит успевать вовремя заставать живой один маленький мальчик хико уходить оставить ребёнок напутствие отправляться близкий деревня там просить крестьянин приют несколько день хико возвращаться назад удостовериться мальчик поступить он быть сказать свой удивление находить ребёнок неподалёку где тот хоронить убитый бывший раб бандит работорговец видеть потенциал это дитя хико усыновлять он дать мальчик имя кэнсин означать сердце меч отныне кэнсин ученик сэйдзюро хико последний человек япония владеть стиль бой хитэн мицуруга,8.73
Rurouni Kenshin: Meiji Kenkaku Romantan,кэнсин химур бродяга тёмный прошлое изранить душа бывший наёмник период реставрация мэйдзь он бродить мир помогать человек надежда искупить содеять год реставрация мэйдзь кэнсин оказываться токио где помогать девушка каор камия защитить её наследственный додзё бандит каор знать прошлый кэнсин позволять тот остаться постепенно помощь химур додзё собираться сирота яхико кулачный боец саносукэ доктор мэгуметь такани вместе они вести спокойный жизнь наполнить весёлый похождение шутливый перепалка мирный жизнь длиться недолго вскоре мрачный прошлое кэнсин давать себя знать,8.31
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,война сёгунат токугава закончиться несколько год назад есть человек довольный исход этот война такой сигурэ видеть свой глаз он друг семья вырезать имя свобода процветание теперь он вместе банда отчаянный мятежник поклясться свести счёты правительство только один человек становиться они путь кэнсин химур такой узнавать кэнсин сам дело хитокири баттосать он битва становиться личный месть,7.56
Akira,2019 год большой год назад отгреметь третий мировой война нью токио мобилизовать властный структура положить конец никогда прекращаться схватка подпольный банда тень правящий поделить город этот обстановка особый мальчик невероятно мощный сверхъестественный способность информация который храниться недра совершенно секретный файл осуществлять побег место свой заключение случайно столкнуться банда мотоциклист произойти странный образ влиять один член банда тэцуо пробуждать он дремать доселе парапсихический способность вскоре они являться вооружённый человек доставлять он экспериментальный лаборатория рассудок тэцуо уже подорвать мечта сила неограниченный свобода конец конец он отправляться поиск загадочный легендарный акир вызвать некогда страшный взрыв уничтожить токио этот событие оказываться вовлечь сётаро канэда хороший друг тэцуо член антиправительственный организация девушка имя кэй многие другой человек чей судьба переплетаться сильный путь умопомрачительный развязка,8.17
.hack//Sign,цукас очнуться подземелье мморпг название мир вдобавок он временной потеря память он помнить оказаться игра делать ранее желать кто общаться цукас избегать другой игрок это только он неизвестный причина мочь выйти игра поиск ответ он возвращаться подземелье где сундук доставать предмет вид плита который обещать позаботиться он защитить зло помощь приходить субару лидер орден багровый рыцарь вместе несколько другой игрок который познакомиться цукасоя субару решить расследовать почему цукас состояние выйти система попытаться добраться суть проблема ситуация выйти контроль,6.98
Aa! Megami-sama!,студент колледж кэйить морисато пытаться заказать себя обед дом он торопливо набирать номер случайно дозвониться служба божественный помощь зеркало стена появиться отражение неописуемый красота девушка имя верданди оказаться богиня стечение обстоятельство кэйить выгнать общежитие теперь он предстоять долгий сложный путь полный забавный происшествие пройти который он обязать вместе верданди парень пожелать прекрасный богиня навсегда остаться они,7.32
